t,xe,ye,vxe,vye,xm,ym,vxm,vym
780600.000000,6557657.428636,-6440821.137195,10.380916,2.103920,-177025934.731548,346143252.283090,-889.604655,-444.161370
780700.000000,6558695.452016,-6440610.614063,10.379551,2.106542,-177114889.344554,346098824.908423,-889.487596,-444.386119
780800.000000,6559733.338828,-6440399.828725,10.378185,2.109164,-177203832.248966,346054375.060443,-889.370483,-444.610836
780900.000000,6560771.089007,-6440188.781217,10.376818,2.111786,-177292763.439223,346009902.742333,-889.253313,-444.835521
781000.000000,6561808.702488,-6439977.471577,10.375451,2.114407,-177381682.909765,345965407.957277,-889.136088,-445.060175
781100.000000,6562846.179205,-6439765.899842,10.374083,2.117028,-177470590.655034,345920890.708460,-889.018808,-445.284796
781200.000000,6563883.519096,-6439554.066050,10.372715,2.119648,-177559486.669470,345876350.999069,-888.901472,-445.509386
781300.000000,6564920.722093,-6439341.970236,10.371345,2.122268,-177648370.947517,345831788.832294,-888.784080,-445.733944
781400.000000,6565957.788133,-6439129.612439,10.369975,2.124888,-177737243.483619,345787204.211322,-888.666633,-445.958470
781500.000000,6566994.717151,-6438916.992696,10.368605,2.127507,-177826104.272219,345742597.139344,-888.549130,-446.182964
781600.000000,6568031.509082,-6438704.111044,10.367234,2.130126,-177914953.307764,345697967.619554,-888.431572,-446.407426
781700.000000,6569068.163861,-6438490.967520,10.365862,2.132745,-178003790.584700,345653315.655144,-888.313958,-446.631857
781800.000000,6570104.681423,-6438277.562161,10.364489,2.135363,-178092616.097473,345608641.249309,-888.196288,-446.856255
781900.000000,6571141.061704,-6438063.895005,10.363116,2.137980,-178181429.840533,345563944.405245,-888.078564,-447.080621
782000.000000,6572177.304639,-6437849.966090,10.361742,2.140598,-178270231.808327,345519225.126150,-887.960783,-447.304956
782100.000000,6573213.410163,-6437635.775451,10.360368,2.143215,-178359021.995307,345474483.415221,-887.842947,-447.529258
782200.000000,6574249.378211,-6437421.323127,10.358993,2.145832,-178447800.395923,345429719.275660,-887.725056,-447.753528
782300.000000,6575285.208719,-6437206.609156,10.357617,2.148448,-178536567.004626,345384932.710667,-887.607109,-447.977766
782400.000000,6576320.901622,-6436991.633573,10.356241,2.151064,-178625321.815870,345340123.723444,-887.489107,-448.201973
782500.000000,6577356.456854,-6436776.396418,10.354864,2.153679,-178714064.824108,345295292.317197,-887.371049,-448.426147
782600.000000,6578391.874353,-6436560.897726,10.353486,2.156294,-178802796.023795,345250438.495130,-887.252936,-448.650289
782700.000000,6579427.154052,-6436345.137537,10.352108,2.158909,-178891515.409385,345205562.260449,-887.134767,-448.874399
782800.000000,6580462.295887,-6436129.115886,10.350729,2.161524,-178980222.975335,345160663.616362,-887.016543,-449.098477
782900.000000,6581497.299793,-6435912.832811,10.349349,2.164138,-179068918.716103,345115742.566079,-886.898263,-449.322523
783000.000000,6582532.165706,-6435696.288350,10.347969,2.166751,-179157602.626146,345070799.112810,-886.779928,-449.546537
783100.000000,6583566.893562,-6435479.482541,10.346588,2.169365,-179246274.699923,345025833.259766,-886.661538,-449.770519
783200.000000,6584601.483294,-6435262.415420,10.345207,2.171978,-179334934.931895,344980845.010161,-886.543092,-449.994468
783300.000000,6585635.934840,-6435045.087026,10.343824,2.174590,-179423583.316522,344935834.367209,-886.424591,-450.218386
783400.000000,6586670.248134,-6434827.497395,10.342442,2.177202,-179512219.848266,344890801.334126,-886.306035,-450.442271
783500.000000,6587704.423111,-6434609.646566,10.341058,2.179814,-179600844.521589,344845745.914129,-886.187423,-450.666124
783600.000000,6588738.459707,-6434391.534576,10.339674,2.182426,-179689457.330956,344800668.110435,-886.068755,-450.889945
