x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
2.010000e+000	9.050906e-001	-6.952749e-008	-6.036178e-008	-4.252188e-001	-4.252188e-001
2.020000e+000	9.007932e-001	-7.076575e-008	-6.164356e-008	-4.342483e-001	-4.342483e-001
2.030000e+000	8.964057e-001	-7.199693e-008	-6.291918e-008	-4.432343e-001	-4.432344e-001
2.040000e+000	8.919287e-001	-7.322092e-008	-6.418850e-008	-4.521761e-001	-4.521761e-001
2.050000e+000	8.873624e-001	-7.443758e-008	-6.545140e-008	-4.610726e-001	-4.610726e-001
2.060000e+000	8.827074e-001	-7.564680e-008	-6.670776e-008	-4.699230e-001	-4.699230e-001
2.070000e+000	8.779641e-001	-7.684845e-008	-6.795745e-008	-4.787265e-001	-4.787265e-001
2.080000e+000	8.731330e-001	-7.804242e-008	-6.920034e-008	-4.874820e-001	-4.874820e-001
2.090000e+000	8.682146e-001	-7.922858e-008	-7.043631e-008	-4.961888e-001	-4.961888e-001
2.100000e+000	8.632094e-001	-8.040682e-008	-7.166524e-008	-5.048460e-001	-5.048460e-001
2.110000e+000	8.581178e-001	-8.157702e-008	-7.288700e-008	-5.134527e-001	-5.134527e-001
2.120000e+000	8.529405e-001	-8.273907e-008	-7.410148e-008	-5.220081e-001	-5.220081e-001
2.130000e+000	8.476778e-001	-8.389284e-008	-7.530854e-008	-5.305113e-001	-5.305113e-001
2.140000e+000	8.423304e-001	-8.503822e-008	-7.650807e-008	-5.389614e-001	-5.389614e-001
2.150000e+000	8.368988e-001	-8.617509e-008	-7.769995e-008	-5.473576e-001	-5.473576e-001
2.160000e+000	8.313835e-001	-8.730335e-008	-7.888407e-008	-5.556991e-001	-5.556991e-001
2.170000e+000	8.257850e-001	-8.842288e-008	-8.006029e-008	-5.639850e-001	-5.639850e-001
2.180000e+000	8.201039e-001	-8.953357e-008	-8.122851e-008	-5.722145e-001	-5.722145e-001
2.190000e+000	8.143409e-001	-9.063530e-008	-8.238860e-008	-5.803868e-001	-5.803868e-001
2.200000e+000	8.084964e-001	-9.172797e-008	-8.354046e-008	-5.885010e-001	-5.885010e-001
2.210000e+000	8.025711e-001	-9.281147e-008	-8.468396e-008	-5.965564e-001	-5.965564e-001
2.220000e+000	7.965655e-001	-9.388568e-008	-8.581899e-008	-6.045522e-001	-6.045522e-001
2.230000e+000	7.904802e-001	-9.495051e-008	-8.694544e-008	-6.124875e-001	-6.124875e-001
2.240000e+000	7.843159e-001	-9.600584e-008	-8.806320e-008	-6.203615e-001	-6.203615e-001
2.250000e+000	7.780732e-001	-9.705158e-008	-8.917215e-008	-6.281735e-001	-6.281735e-001
2.260000e+000	7.717527e-001	-9.808760e-008	-9.027219e-008	-6.359227e-001	-6.359227e-001
2.270000e+000	7.653550e-001	-9.911382e-008	-9.136319e-008	-6.436083e-001	-6.436083e-001
2.280000e+000	7.588807e-001	-1.001301e-007	-9.244506e-008	-6.512296e-001	-6.512296e-001
2.290000e+000	7.523306e-001	-1.011364e-007	-9.351769e-008	-6.587857e-001	-6.587857e-001
2.300000e+000	7.457052e-001	-1.021326e-007	-9.458096e-008	-6.662759e-001	-6.662759e-001
2.310000e+000	7.390053e-001	-1.031186e-007	-9.563478e-008	-6.736995e-001	-6.736995e-001
2.320000e+000	7.322314e-001	-1.040942e-007	-9.667903e-008	-6.810558e-001	-6.810558e-001
2.330000e+000	7.253844e-001	-1.050595e-007	-9.771362e-008	-6.883439e-001	-6.883439e-001
2.340000e+000	7.184648e-001	-1.060142e-007	-9.873843e-008	-6.955632e-001	-6.955632e-001
2.350000e+000	7.114734e-001	-1.069584e-007	-9.975337e-008	-7.027130e-001	-7.027130e-001
2.360000e+000	7.044108e-001	-1.078918e-007	-1.007583e-007	-7.097924e-001	-7.097925e-001
2.370000e+000	6.972777e-001	-1.088144e-007	-1.017532e-007	-7.168009e-001	-7.168010e-001
2.380000e+000	6.900750e-001	-1.097262e-007	-1.027379e-007	-7.237378e-001	-7.237378e-001
2.390000e+000	6.828032e-001	-1.106270e-007	-1.037124e-007	-7.306022e-001	-7.306022e-001
2.400000e+000	6.754632e-001	-1.115168e-007	-1.046765e-007	-7.373936e-001	-7.373936e-001
2.410000e+000	6.680556e-001	-1.123953e-007	-1.056301e-007	-7.441113e-001	-7.441113e-001
2.420000e+000	6.605812e-001	-1.132627e-007	-1.065731e-007	-7.507545e-001	-7.507545e-001
2.430000e+000	6.530408e-001	-1.141187e-007	-1.075055e-007	-7.573227e-001	-7.573227e-001
2.440000e+000	6.454350e-001	-1.149633e-007	-1.084271e-007	-7.638151e-001	-7.638151e-001
2.450000e+000	6.377647e-001	-1.157964e-007	-1.093379e-007	-7.702311e-001	-7.702311e-001
2.460000e+000	6.300306e-001	-1.166180e-007	-1.102377e-007	-7.765702e-001	-7.765702e-001
