x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
1.790000e+000	9.760709e-001	-2.174525e-001	-2.174524e-001	4.868297e-008	-1.668470e-010
1.800000e+000	9.738476e-001	-2.272021e-001	-2.272021e-001	4.907239e-008	2.225800e-010
1.810000e+000	9.715270e-001	-2.369291e-001	-2.369290e-001	4.765753e-008	-8.205721e-011
1.820000e+000	9.691091e-001	-2.466324e-001	-2.466323e-001	4.901120e-008	1.613884e-010
1.830000e+000	9.665944e-001	-2.563110e-001	-2.563109e-001	4.756540e-008	-1.741874e-010
1.840000e+000	9.639830e-001	-2.659639e-001	-2.659639e-001	4.860853e-008	3.138328e-010
1.850000e+000	9.612752e-001	-2.755903e-001	-2.755902e-001	4.820459e-008	-9.011129e-011
1.860000e+000	9.584713e-001	-2.851891e-001	-2.851891e-001	4.863975e-008	3.450520e-010
1.870000e+000	9.555715e-001	-2.947594e-001	-2.947594e-001	4.722391e-008	3.942653e-011
1.880000e+000	9.525762e-001	-3.043002e-001	-3.043002e-001	4.729687e-008	1.123879e-010
1.890000e+000	9.494856e-001	-3.138106e-001	-3.138106e-001	4.814069e-008	4.011023e-010
1.900000e+000	9.463001e-001	-3.232896e-001	-3.232896e-001	4.710471e-008	-7.976934e-011
1.910000e+000	9.430199e-001	-3.327363e-001	-3.327362e-001	4.728197e-008	9.749564e-011
1.920000e+000	9.396455e-001	-3.421497e-001	-3.421497e-001	4.631226e-008	2.380015e-010
1.930000e+000	9.361771e-001	-3.515289e-001	-3.515288e-001	4.738980e-008	2.053257e-010
1.940000e+000	9.326150e-001	-3.608729e-001	-3.608729e-001	4.695675e-008	3.273871e-010
1.950000e+000	9.289597e-001	-3.701809e-001	-3.701808e-001	4.682180e-008	1.924322e-010
1.960000e+000	9.252115e-001	-3.794518e-001	-3.794518e-001	4.740541e-008	2.209308e-010
1.970000e+000	9.213708e-001	-3.886848e-001	-3.886848e-001	4.653653e-008	4.622754e-010
1.980000e+000	9.174380e-001	-3.978789e-001	-3.978789e-001	4.602122e-008	-5.303856e-011
1.990000e+000	9.134134e-001	-4.070333e-001	-4.070332e-001	4.599918e-008	4.800399e-010
2.000000e+000	9.092974e-001	-4.161469e-001	-4.161468e-001	4.485187e-008	-1.121606e-010
2.010000e+000	9.050906e-001	-4.252189e-001	-4.252189e-001	4.466202e-008	-3.020148e-010
2.020000e+000	9.007932e-001	-4.342484e-001	-4.342483e-001	4.446118e-008	-5.028501e-010
2.030000e+000	8.964057e-001	-4.432345e-001	-4.432344e-001	4.346970e-008	-9.392197e-010
2.040000e+000	8.919287e-001	-4.521762e-001	-4.521762e-001	4.322684e-008	-6.269727e-010
2.050000e+000	8.873624e-001	-4.610727e-001	-4.610727e-001	4.306003e-008	-7.937821e-010
2.060000e+000	8.827074e-001	-4.699232e-001	-4.699231e-001	4.332614e-008	-1.082781e-009
2.070000e+000	8.779641e-001	-4.787266e-001	-4.787265e-001	4.310206e-008	-7.517488e-010
2.080000e+000	8.731330e-001	-4.874821e-001	-4.874821e-001	4.231664e-008	-9.820600e-010
2.090000e+000	8.682146e-001	-4.961890e-001	-4.961889e-001	4.277287e-008	-1.080937e-009
2.100000e+000	8.632094e-001	-5.048461e-001	-5.048461e-001	4.250925e-008	-7.894488e-010
2.110000e+000	8.581178e-001	-5.134529e-001	-5.134528e-001	4.237401e-008	-9.246919e-010
2.120000e+000	8.529405e-001	-5.220082e-001	-5.220082e-001	4.260790e-008	-6.908002e-010
2.130000e+000	8.476778e-001	-5.305114e-001	-5.305113e-001	4.164790e-008	-5.405703e-010
