t	y	v	
4.150000	39365.391992	-40.641896	0.000000	0.000000
4.160000	39364.984597	-40.739489	0.000000	0.000000
4.170000	39364.576226	-40.837079	0.000000	0.000000
4.180000	39364.166880	-40.934669	0.000000	0.000000
4.190000	39363.756557	-41.032258	0.000000	0.000000
4.200000	39363.345259	-41.129832	0.000000	0.000000
4.210000	39362.932985	-41.227405	0.000000	0.000000
4.220000	39362.519735	-41.324977	0.000000	0.000000
4.230000	39362.105510	-41.422547	0.000000	0.000000
4.240000	39361.690308	-41.520117	0.000000	0.000000
4.250000	39361.274132	-41.617685	0.000000	0.000000
4.260000	39360.856979	-41.715251	0.000000	0.000000
4.270000	39360.438851	-41.812817	0.000000	0.000000
4.280000	39360.019747	-41.910381	0.000000	0.000000
4.290000	39359.599668	-42.007944	0.000000	0.000000
4.300000	39359.178613	-42.105492	0.000000	0.000000
4.310000	39358.756582	-42.203039	0.000000	0.000000
4.320000	39358.333576	-42.300585	0.000000	0.000000
4.330000	39357.909595	-42.398130	0.000000	0.000000
4.340000	39357.484638	-42.495673	0.000000	0.000000
4.350000	39357.058706	-42.593215	0.000000	0.000000
4.360000	39356.631799	-42.690755	0.000000	0.000000
4.370000	39356.203916	-42.788295	0.000000	0.000000
4.380000	39355.775057	-42.885833	0.000000	0.000000
4.390000	39355.345224	-42.983369	0.000000	0.000000
4.400000	39354.914415	-43.080905	0.000000	0.000000
4.410000	39354.482630	-43.178425	0.000000	0.000000
4.420000	39354.049871	-43.275944	0.000000	0.000000
4.430000	39353.616136	-43.373462	0.000000	0.000000
4.440000	39353.181427	-43.470979	0.000000	0.000000
4.450000	39352.745742	-43.568494	0.000000	0.000000
4.460000	39352.309082	-43.666008	0.000000	0.000000
4.470000	39351.871446	-43.763520	0.000000	0.000000
4.480000	39351.432836	-43.861031	0.000000	0.000000
4.490000	39350.993251	-43.958541	0.000000	0.000000
4.500000	39350.552690	-44.056049	0.000000	0.000000
4.510000	39350.111155	-44.153543	0.000000	0.000000
4.520000	39349.668644	-44.251035	0.000000	0.000000
4.530000	39349.225159	-44.348525	0.000000	0.000000
4.540000	39348.780699	-44.446014	0.000000	0.000000
4.550000	39348.335264	-44.543502	0.000000	0.000000
4.560000	39347.888854	-44.640989	0.000000	0.000000
4.570000	39347.441469	-44.738474	0.000000	0.000000
4.580000	39346.993110	-44.835957	0.000000	0.000000
4.590000	39346.543775	-44.933439	0.000000	0.000000
4.600000	39346.093466	-45.030920	0.000000	0.000000
4.610000	39345.642182	-45.128386	0.000000	0.000000
4.620000	39345.189924	-45.225850	0.000000	0.000000
4.630000	39344.736691	-45.323312	0.000000	0.000000
4.640000	39344.282483	-45.420774	0.000000	0.000000
4.650000	39343.827301	-45.518233	0.000000	0.000000
4.660000	39343.371144	-45.615692	0.000000	0.000000
4.670000	39342.914012	-45.713149	0.000000	0.000000
4.680000	39342.455906	-45.810604	0.000000	0.000000
4.690000	39341.996826	-45.908058	0.000000	0.000000
4.700000	39341.536770	-46.005511	0.000000	0.000000
4.710000	39341.075741	-46.102948	0.000000	0.000000
4.720000	39340.613737	-46.200383	0.000000	0.000000
4.730000	39340.150759	-46.297817	0.000000	0.000000
4.740000	39339.686807	-46.395250	0.000000	0.000000
4.750000	39339.221880	-46.492681	0.000000	0.000000
4.760000	39338.755979	-46.590110	0.000000	0.000000
4.770000	39338.289103	-46.687539	0.000000	0.000000
4.780000	39337.821254	-46.784965	0.000000	0.000000
4.790000	39337.352430	-46.882391	0.000000	0.000000
4.800000	39336.882631	-46.979815	0.000000	0.000000
4.810000	39336.411859	-47.077237	0.000000	0.000000
4.820000	39335.940113	-47.174643	0.000000	0.000000
4.830000	39335.467392	-47.272048	0.000000	0.000000
4.840000	39334.993698	-47.369451	0.000000	0.000000
4.850000	39334.519029	-47.466853	0.000000	0.000000
4.860000	39334.043387	-47.564253	0.000000	0.000000
4.870000	39333.566770	-47.661652	0.000000	0.000000
4.880000	39333.089180	-47.759049	0.000000	0.000000
4.890000	39332.610615	-47.856445	0.000000	0.000000
4.900000	39332.131077	-47.953840	0.000000	0.000000
4.910000	39331.650564	-48.051232	0.000000	0.000000
4.920000	39331.169078	-48.148609	0.000000	0.000000
4.930000	39330.686619	-48.245984	0.000000	0.000000
4.940000	39330.203185	-48.343357	0.000000	0.000000
4.950000	39329.718778	-48.440729	0.000000	0.000000
4.960000	39329.233397	-48.538099	0.000000	0.000000
4.970000	39328.747042	-48.635468	0.000000	0.000000
4.980000	39328.259714	-48.732835	0.000000	0.000000
4.990000	39327.771412	-48.830201	0.000000	0.000000
5.000000	39327.282136	-48.927565	0.000000	0.000000
5.010000	39326.791887	-49.024928	0.000000	0.000000
5.020000	39326.300664	-49.122274	0.000000	0.000000
5.030000	39325.808468	-49.219618	0.000000	0.000000
5.040000	39325.315298	-49.316961	0.000000	0.000000
5.050000	39324.821155	-49.414302	0.000000	0.000000
5.060000	39324.326039	-49.511641	0.000000	0.000000
5.070000	39323.829949	-49.608979	0.000000	0.000000
5.080000	39323.332886	-49.706316	0.000000	0.000000
5.090000	39322.834849	-49.803651	0.000000	0.000000
5.100000	39322.335839	-49.900984	0.000000	0.000000
5.110000	39321.835856	-49.998316	0.000000	0.000000
5.120000	39321.334900	-50.095647	0.000000	0.000000
5.130000	39320.832970	-50.192960	0.000000	0.000000
5.140000	39320.330068	-50.290271	0.000000	0.000000
5.150000	39319.826192	-50.387581	0.000000	0.000000
5.160000	39319.321343	-50.484889	0.000000	0.000000
