time	x	y	v_x	v_y
21700.000000	-14864710.143415	-6934378.202296	2820.954725	-2720.424501
21800.000000	-14575856.267614	-7203206.025412	2956.276943	-2655.433481
21900.000000	-14273423.478240	-7465321.580507	3092.537531	-2586.142107
22000.000000	-13957316.650306	-7720283.377980	3229.761510	-2512.317762
22100.000000	-13627438.394928	-7967625.572341	3367.968965	-2433.705589
22200.000000	-13283689.608250	-8206855.626574	3507.173901	-2350.026212
22300.000000	-12925970.146260	-8437451.734815	3647.382863	-2260.973176
22400.000000	-12554179.652498	-8658859.972792	3788.593246	-2166.210057
22500.000000	-12168218.571582	-8870491.141422	3930.791257	-2065.367207
22600.000000	-11767989.388874	-9071717.264434	4073.949418	-1958.038081
22700.000000	-11353398.145725	-9261867.695872	4218.023529	-1843.775097
22800.000000	-10924356.291152	-9440224.787708	4362.948953	-1722.084969
22900.000000	-10480782.944945	-9606019.061729	4508.636075	-1592.423451
23000.000000	-10022607.665027	-9758423.823395	4654.964719	-1454.189418
23100.000000	-9549773.834120	-9896549.148580	4801.777299	-1306.718231
23200.000000	-9062242.808833	-10019435.167556	4948.870364	-1149.274310
23300.000000	-8559999.009564	-10126044.564584	5095.984158	-981.042862
23400.000000	-8043056.174237	-10215254.207122	5242.789691	-801.120746
23500.000000	-7511465.055185	-10285845.817337	5388.872688	-608.506459
23600.000000	-6965322.909840	-10336495.602547	5533.713616	-402.089346
23700.000000	-6404785.225954	-10365762.774003	5676.662775	-180.638206
23800.000000	-5830080.235831	-10372076.910256	5816.909189	57.210347
23900.000000	-5241526.917033	-10353724.170427	5953.441690	312.963110
24000.000000	-4639557.355665	-10308832.446082	6085.000216	588.280068
24100.000000	-4024744.569104	-10235355.676310	6210.014876	884.981004
24200.000000	-3397837.153333	-10131057.765993	6326.529862	1205.046275
24300.000000	-2759802.437371	-9993496.881640	6432.108797	1550.607644
24400.000000	-2111880.185895	-9820011.409881	6523.717789	1923.922933
24500.000000	-1455649.264563	-9607709.631606	6597.582562	2327.325186
24600.000000	-793110.007774	-9353466.300790	6649.016998	2763.132693
24700.000000	-126785.176970	-9053930.964390	6672.223174	3233.500294
24800.000000	540157.873339	-8705555.186004	6660.068936	3740.184741
24900.000000	1203762.323204	-8304648.996035	6603.860501	4284.188046
25000.000000	1859115.485552	-7847480.930176	6493.147915	4865.234504
25100.000000	2500167.370071	-7330440.657298	6315.634385	5481.034504
25200.000000	3119550.135508	-6750287.427013	6057.309745	6126.301310
25300.000000	3708429.450424	-6104508.985884	5702.991140	6791.533832
25400.000000	4256440.200014	-5391809.625235	5237.512569	7461.684156
25500.000000	4751784.202965	-4612725.497625	4647.811179	8115.015743
25600.000000	5181587.300781	-3770322.279700	3926.023731	8722.713749
25700.000000	5532607.871172	-2870862.042818	3073.326413	9250.027892
25800.000000	5792331.624549	-1924247.489782	2103.607818	9659.668928
25900.000000	5950361.664642	-944005.660750	1045.406336	9917.547083
26000.000000	5999843.827792	53377.381814	-59.546677	9999.706267
26100.000000	5938543.208940	1049779.179699	-1161.800648	9898.086267
26200.000000	5769218.981786	2027173.027718	-2212.364098	9622.618868
26300.000000	5499163.486842	2969335.305750	-3170.715460	9198.656671
26400.000000	5139069.602083	3863105.467282	-4009.875732	8660.956152
26500.000000	4701592.100233	4698977.753773	-4717.446504	8046.774066
26600.000000	4199979.591626	5471057.592390	-5293.402613	7390.348340
26700.000000	3647019.208405	6176582.581475	-5746.336025	6719.762181
26800.000000	3054368.661637	6815244.499321	-6089.664507	6056.003338
26900.000000	2432231.536705	7388496.359680	-6338.638840	5413.468320
27000.000000	1789281.221772	7898949.436749	-6508.361245	4801.146516
27100.000000	1132737.438072	8349899.361740	-6612.677272	4223.951051
27200.000000	468520.363179	8744980.027194	-6663.689088	3683.914401
27300.000000	-198567.549177	9087925.450107	-6671.653407	3181.144799
27400.000000	-864661.164272	9382414.843641	-6645.087957	2714.537765
27500.000000	-1526668.352799	9631978.038746	-6590.972224	2282.279133
27600.000000	-2182127.530666	9839942.753463	-6514.975694	1882.186769
27700.000000	-2829087.841040	10009409.814199	-6421.678497	1511.934506
27800.000000	-3466010.301729	10143246.384344	-6314.768496	1169.193444
27900.000000	-4091687.240576	10244090.321897	-6197.209664	851.716952
28000.000000	-4705177.131615	10314361.033996	-6071.382050	557.388220
28100.000000	-5305752.121063	10356273.781609	-5939.196181	284.243505
28200.000000	-5892855.867313	10371855.478360	-5802.185573	30.479979
28300.000000	-6466069.693117	10362960.763356	-5661.581059	-205.545837
28400.000000	-7025085.403290	10331287.616455	-5518.370294	-425.325135
28500.000000	-7569683.433540	10278392.103821	-5373.345308	-630.206815
28600.000000	-8099715.259139	10205702.046888	-5227.140509	-821.408810
28700.000000	-8615089.208162	10114529.537079	-5080.263064	-1000.029719
28800.000000	-9115758.998574	10006082.297623	-4933.117225	-1167.060155
28900.000000	-9601714.458054	9881473.939995	-4786.023842	-1323.393465
29000.000000	-10072973.996392	9741733.187537	-4639.236048	-1469.835649
29100.000000	-10529578.488236	9587812.150422	-4492.951894	-1607.114406
29200.000000	-10971586.293466	9420593.739379	-4347.324559	-1735.887319
29300.000000	-11399069.197448	9240898.303826	-4202.470612	-1856.749189
29400.000000	-11812109.096934	9049489.575488	-4058.476717	-1970.238600
29500.000000	-12210795.291765	8847079.992498	-3915.405090	-2076.843759
29600.000000	-12595222.269968	8634335.472322	-3773.297948	-2177.007688
29700.000000	-12965487.895497	8411879.695159	-3632.181139	-2271.132833
29800.000000	-13321691.925289	8180297.952968	-3492.067121	-2359.585155
29900.000000	-13663934.796117	7940140.613278	-3352.957402	-2442.697750
30000.000000	-13992316.632871	7691926.241398	-3214.844539	-2520.774071
30100.000000	-14306936.438815	7436144.419624	-3077.713790	-2594.090773
30200.000000	-14607891.435574	7173258.297625	-2941.544468	-2662.900250
30300.000000	-14895276.526439	6903706.904161	-2806.311063	-2727.432881
30400.000000	-15169183.861269	6627907.246813	-2671.984156	-2787.899023
30500.000000	-15429702.485144	6346256.223284	-2538.531184	-2844.490796
30600.000000	-15676918.056019	6059132.365131	-2405.917063	-2897.383652
30700.000000	-15910912.619181	5766897.432376	-2274.104700	-2946.737789
30800.000000	-16131764.428446	5469897.875366	-2143.055422	-2992.699400
30900.000000	-16339547.805686	5168466.178424	-2012.729317	-3035.401788
31000.000000	-16534333.031754	4862922.098217	-1883.085518	-3074.966359
31100.000000	-16716186.263001	4553573.808378	-1754.082435	-3111.503507
31200.000000	-16885169.468560	4240718.960683	-1625.677943	-3145.113399
31300.000000	-17041340.384373	3924645.672028	-1497.829526	-3175.886675
31400.000000	-17184752.480607	3605633.445504	-1370.494401	-3203.905069
31500.000000	-17315454.939638	3283954.033062	-1243.629609	-3229.241955
31600.000000	-17433492.642285	2959872.246550	-1117.192088	-3251.962836
31700.000000	-17538906.160312	2633646.723282	-991.138727	-3272.125766
31800.000000	-17631731.753601	2305530.651776	-865.426405	-3289.781726
31900.000000	-17712001.370616	1975772.462833	-740.012017	-3304.974939
32000.000000	-17779742.651068	1644616.490725	-614.852496	-3317.743154
32100.000000	-17834978.929843	1312303.608944	-489.904814	-3328.117874
32200.000000	-17877729.241460	979071.844661	-365.125991	-3336.124551
32300.000000	-17908008.324454	645156.975828	-240.473086	-3341.782740
32400.000000	-17925826.625232	310793.114646	-115.903196	-3345.106218
32500.000000	-17931190.301045	-23786.718999	8.626560	-3346.103065
32600.000000	-17924101.221844	-358350.030659	133.159051	-3344.775714
32700.000000	-17904556.970878	-692664.287602	257.737143	-3341.120967
32800.000000	-17872550.843997	-1026496.354856	382.403720	-3335.129972
