time	x	y	v_x	v_y
558360.000000	-2461401372.920899	3877878464.574979	-4366.073088	6903.019146	19076400.250761
558420.000000	-2461663337.287892	3878292645.694883	-4366.072478	6903.018184	19076394.920806
558480.000000	-2461925301.618280	3878706826.757116	-4366.071868	6903.017223	19076389.591989
558540.000000	-2462187265.912068	3879121007.761689	-4366.071258	6903.016262	19076384.264311
558600.000000	-2462449230.169267	3879535188.708615	-4366.070648	6903.015302	19076378.937772
558660.000000	-2462711194.389884	3879949369.597907	-4366.070039	6903.014341	19076373.612371
558720.000000	-2462973158.573925	3880363550.429575	-4366.069429	6903.013381	19076368.288108
558780.000000	-2463235122.721400	3880777731.203634	-4366.068820	6903.012421	19076362.964983
558840.000000	-2463497086.832316	3881191911.920095	-4366.068211	6903.011461	19076357.642995
558900.000000	-2463759050.906681	3881606092.578970	-4366.067602	6903.010501	19076352.322143
558960.000000	-2464021014.944502	3882020273.180271	-4366.066993	6903.009542	19076347.002428
559020.000000	-2464282978.945787	3882434453.724011	-4366.066384	6903.008583	19076341.683849
559080.000000	-2464544942.910545	3882848634.210203	-4366.065775	6903.007624	19076336.366405
559140.000000	-2464806906.838783	3883262814.638857	-4366.065166	6903.006665	19076331.050097
559200.000000	-2465068870.730509	3883676995.009988	-4366.064558	6903.005706	19076325.734924
559260.000000	-2465330834.585730	3884091175.323606	-4366.063950	6903.004748	19076320.420885
559320.000000	-2465592798.404455	3884505355.579724	-4366.063341	6903.003790	19076315.107981
559380.000000	-2465854762.186690	3884919535.778355	-4366.062733	6903.002832	19076309.796210
559440.000000	-2466116725.932445	3885333715.919510	-4366.062125	6903.001874	19076304.485573
559500.000000	-2466378689.641727	3885747896.003202	-4366.061517	6903.000916	19076299.176069
559560.000000	-2466640653.314542	3886162076.029444	-4366.060910	6902.999959	19076293.867698
559620.000000	-2466902616.950901	3886576255.998246	-4366.060302	6902.999001	19076288.560460
559680.000000	-2467164580.550809	3886990435.909622	-4366.059695	6902.998044	19076283.254353
559740.000000	-2467426544.114275	3887404615.763584	-4366.059087	6902.997088	19076277.949378
559800.000000	-2467688507.641306	3887818795.560143	-4366.058480	6902.996131	19076272.645534
559860.000000	-2467950471.131911	3888232975.299313	-4366.057873	6902.995175	19076267.342821
559920.000000	-2468212434.586097	3888647154.981105	-4366.057266	6902.994218	19076262.041239
559980.000000	-2468474398.003872	3889061334.605532	-4366.056660	6902.993262	19076256.740787
560040.000000	-2468736361.385243	3889475514.172605	-4366.056053	6902.992307	19076251.441465
560100.000000	-2468998324.730219	3889889693.682337	-4366.055446	6902.991351	19076246.143273
560160.000000	-2469260288.038807	3890303873.134741	-4366.054840	6902.990396	19076240.846209
560220.000000	-2469522251.311015	3890718052.529828	-4366.054234	6902.989441	19076235.550275
560280.000000	-2469784214.546851	3891132231.867610	-4366.053628	6902.988486	19076230.255469
560340.000000	-2470046177.746322	3891546411.148100	-4366.053022	6902.987531	19076224.961791
560400.000000	-2470308140.909436	3891960590.371310	-4366.052416	6902.986576	19076219.669240
560460.000000	-2470570104.036201	3892374769.537252	-4366.051810	6902.985622	19076214.377817
560520.000000	-2470832067.126624	3892788948.645938	-4366.051204	6902.984668	19076209.087521
560580.000000	-2471094030.180714	3893203127.697381	-4366.050599	6902.983714	19076203.798352
560640.000000	-2471355993.198477	3893617306.691592	-4366.049993	6902.982760	19076198.510308
560700.000000	-2471617956.179923	3894031485.628583	-4366.049388	6902.981806	19076193.223391
560760.000000	-2471879919.125058	3894445664.508368	-4366.048783	6902.980853	19076187.937599
560820.000000	-2472141882.033890	3894859843.330957	-4366.048178	6902.979900	19076182.652933
560880.000000	-2472403844.906427	3895274022.096364	-4366.047573	6902.978947	19076177.369391
560940.000000	-2472665807.742677	3895688200.804600	-4366.046968	6902.977994	19076172.086974
561000.000000	-2472927770.542647	3896102379.455678	-4366.046364	6902.977042	19076166.805681
561060.000000	-2473189733.306345	3896516558.049609	-4366.045759	6902.976089	19076161.525511
561120.000000	-2473451696.033779	3896930736.586405	-4366.045155	6902.975137	19076156.246466
561180.000000	-2473713658.724957	3897344915.066080	-4366.044551	6902.974185	19076150.968543
