time	x	y	v_x	v_y
168060.000005	276752649.943106	40025050.670849	807.918145	-160.367959
168120.000005	276801116.532786	40015427.044553	807.634863	-160.419580
168180.000005	276849566.129011	40005800.321689	807.351697	-160.471178
168240.000005	276897998.738719	39996170.503733	807.068646	-160.522750
168300.000005	276946414.368848	39986537.592160	806.785711	-160.574298
168360.000005	276994813.026326	39976901.588443	806.502891	-160.625822
168420.000005	277043194.718083	39967262.494054	806.220187	-160.677321
168480.000005	277091559.451040	39957620.310459	805.937598	-160.728795
168540.000005	277139907.232118	39947975.039126	805.655124	-160.780245
168600.000005	277188238.068233	39938326.681518	805.372766	-160.831671
168660.000005	277236551.966294	39928675.239097	805.090522	-160.883072
168720.000005	277284848.933211	39919020.713322	804.808394	-160.934449
168780.000005	277333128.975886	39909363.105650	804.526381	-160.985802
168840.000005	277381392.101218	39899702.417536	804.244483	-161.037131
168900.000005	277429638.316105	39890038.650433	803.962699	-161.088435
168960.000005	277477867.627438	39880371.805791	803.681031	-161.139715
169020.000005	277526080.042104	39870701.885059	803.399477	-161.190972
169080.000005	277574275.566987	39861028.889683	803.118038	-161.242204
169140.000005	277622454.208967	39851352.821105	802.836714	-161.293412
169200.000005	277670615.974922	39841673.680768	802.555504	-161.344596
169260.000005	277718760.871723	39831991.470111	802.274409	-161.395756
169320.000005	277766888.906239	39822306.190571	801.993428	-161.446892
169380.000005	277815000.085334	39812617.843584	801.712561	-161.498004
169440.000005	277863094.415870	39802926.430580	801.431809	-161.549092
169500.000005	277911171.904702	39793231.952992	801.151171	-161.600157
169560.000005	277959232.558684	39783534.412247	800.870647	-161.651197
169620.000005	278007276.384666	39773833.809771	800.590238	-161.702214
169680.000005	278055303.389493	39764130.146988	800.309942	-161.753208
169740.000005	278103313.580006	39754423.425319	800.029761	-161.804177
169800.000005	278151306.963043	39744713.646184	799.749693	-161.855123
169860.000005	278199283.545438	39735000.811001	799.469739	-161.906046
169920.000005	278247243.334021	39725284.921183	799.189899	-161.956944
169980.000005	278295186.335619	39715565.978144	798.910173	-162.007820
170040.000005	278343112.557055	39705843.983294	798.630560	-162.058671
170100.000005	278391022.005145	39696118.938041	798.351062	-162.109500
170160.000005	278438914.686707	39686390.843793	798.071676	-162.160305
170220.000005	278486790.608552	39676659.701952	797.792404	-162.211086
170280.000005	278534649.777484	39666925.513920	797.513246	-162.261844
170340.000005	278582492.200311	39657188.281098	797.234201	-162.312579
170400.000005	278630317.883830	39647448.004881	796.955269	-162.363291
170460.000005	278678126.834839	39637704.686667	796.676450	-162.413979
170520.000005	278725919.060129	39627958.327847	796.397745	-162.464644
170580.000005	278773694.566489	39618208.929812	796.119153	-162.515286
170640.000005	278821453.360704	39608456.493951	795.840673	-162.565905
170700.000005	278869195.449557	39598701.021651	795.562307	-162.616501
170760.000005	278916920.839823	39588942.514295	795.284054	-162.667074
170820.000005	278964629.538276	39579180.973266	795.005913	-162.717623
170880.000005	279012321.551688	39569416.399943	794.727886	-162.768150
170940.000005	279059996.886824	39559648.795705	794.449971	-162.818654
171000.000005	279107655.550448	39549878.161927	794.172169	-162.869135
171060.000005	279155297.549318	39540104.499982	793.894479	-162.919593
171120.000005	279202922.890190	39530327.811242	793.616902	-162.970028
171180.000005	279250531.579816	39520548.097075	793.339438	-163.020440
171240.000005	279298123.624942	39510765.358849	793.062085	-163.070830
171300.000005	279345699.032315	39500979.597927	792.784846	-163.121197
171360.000005	279393257.808675	39491190.815674	792.507718	-163.171541
171420.000005	279440799.960759	39481399.013448	792.230703	-163.221863
171480.000005	279488325.495299	39471604.192609	791.953800	-163.272162
171540.000005	279535834.419027	39461806.354512	791.677009	-163.322438
171600.000006	279583326.738668	39452005.500511	791.400331	-163.372692
171660.000006	279630802.460946	39442201.631958	791.123764	-163.422923
171720.000006	279678261.592579	39432394.750203	790.847309	-163.473132
171780.000006	279725704.140282	39422584.856592	790.570966	-163.523318
171840.000006	279773130.110767	39412771.952472	790.294735	-163.573482
171900.000006	279820539.510745	39402956.039186	790.018616	-163.623624
171960.000006	279867932.346916	39393137.118073	789.742608	-163.673743
172020.000006	279915308.625984	39383315.190474	789.466712	-163.723840
172080.000006	279962668.354645	39373490.257725	789.190928	-163.773915
172140.000006	280010011.539595	39363662.321161	788.915255	-163.823967
172200.000006	280057338.187522	39353831.382113	788.639694	-163.873997
172260.000006	280104648.305114	39343997.441912	788.364244	-163.924006
172320.000006	280151941.899055	39334160.501887	788.088906	-163.973992
172380.000006	280199218.976023	39324320.563363	787.813678	-164.023956
172440.000006	280246479.542696	39314477.627664	787.538562	-164.073897
172500.000006	280293723.605747	39304631.696112	787.263558	-164.123817
172560.000006	280340951.171843	39294782.770027	786.988664	-164.173715
172620.000006	280388162.247651	39284930.850725	786.713881	-164.223591
172680.000006	280435356.839832	39275075.939523	786.439210	-164.273445
172740.000006	280482534.955046	39265218.037733	786.164649	-164.323277
172800.000006	280529696.599948	39255357.146667	785.890199	-164.373088
172860.000006	280576841.781189	39245493.267633	785.615860	-164.422876
172920.000006	280623970.505418	39235626.401938	785.341632	-164.472643
